iter	Logloss
0	0.6822343312
1	0.6721557513
2	0.6628692359
3	0.6542277102
4	0.6456965632
5	0.6375964387
6	0.6303995024
7	0.623414018
8	0.6168632945
9	0.6109462663
10	0.6057554363
11	0.6004820869
12	0.5953244252
13	0.5908447642
14	0.5865651039
15	0.5822843175
16	0.5786980959
17	0.5750672219
18	0.5724866241
19	0.5695012742
20	0.5665172473
21	0.5637128519
22	0.5611501042
23	0.558607274
24	0.5562562711
25	0.5539875348
26	0.552140404
27	0.5501173369
28	0.5483621913
29	0.5465680691
30	0.5450008036
31	0.543586713
32	0.5421233771
33	0.5407982351
34	0.5395394084
35	0.5373533094
36	0.5351989555
37	0.533329812
38	0.5316072887
39	0.5299819373
40	0.5283473104
41	0.5268725911
42	0.525257606
43	0.5242151341
44	0.5230065422
45	0.521650262
46	0.5205633618
47	0.5193769264
48	0.5184344417
49	0.5174190554
50	0.5165372074
51	0.5156487465
52	0.5149101426
53	0.5140505799
54	0.5132906204
55	0.5127049046
56	0.5120903037
57	0.5113452031
58	0.5107778975
59	0.5101565327
60	0.5096014411
61	0.5090665211
62	0.5086873359
63	0.5082575893
64	0.5078675368
65	0.5074350873
66	0.5070882739
67	0.5067233503
68	0.5063341239
69	0.5060387301
70	0.5057833669
71	0.5054572276
72	0.5052303284
73	0.5049753782
74	0.5047509791
75	0.5044464034
76	0.5041996818
77	0.503931724
78	0.5036773613
79	0.5034498254
80	0.5032227421
81	0.5030744051
82	0.5028937965
83	0.5027902832
84	0.5025504314
85	0.5023817703
86	0.5022677624
87	0.5022020108
88	0.502039564
89	0.5019266747
90	0.5017266492
91	0.5015812125
92	0.5014056616
93	0.501319358
94	0.501196327
95	0.5011036205
96	0.5009882753
97	0.5008929233
98	0.5007958184
99	0.5007032295
100	0.5005911218
101	0.5004858437
102	0.5003047276
103	0.5001979459
104	0.500088312
105	0.49996447
106	0.4998573805
107	0.4997897342
108	0.4996805165
109	0.4996226064
110	0.499528999
111	0.4994765962
112	0.49938164
113	0.4992992604
114	0.4992264198
115	0.4991555867
116	0.4990916687
117	0.4990323363
118	0.498913352
119	0.498819069
120	0.4987519346
121	0.4986893765
122	0.4986482009
123	0.4985622397
124	0.4984595866
125	0.4983495014
126	0.4982478172
127	0.4981909086
128	0.4981261107
129	0.4980516446
130	0.4980292124
131	0.4979425286
132	0.4979270915
133	0.4978805792
134	0.4978531639
135	0.4977761569
136	0.4976833685
137	0.4976324238
138	0.4975352176
139	0.4975169172
140	0.4974762621
141	0.497414747
142	0.4974140025
143	0.4973735323
144	0.4973412745
145	0.4972723303
146	0.4972327638
147	0.4972306296
148	0.4972302472
149	0.4972010262
150	0.4971496906
151	0.4970847247
152	0.4970078733
153	0.4969479317
154	0.4969111539
155	0.4968789489
156	0.4968558394
157	0.4968459428
158	0.4968367775
159	0.496795312
160	0.4967638864
161	0.4967097596
162	0.4966900305
163	0.4966711266
164	0.4966189186
165	0.4965859035
166	0.4965459761
167	0.4964954468
168	0.4964318335
169	0.4964318039
170	0.4964019612
171	0.4963765768
172	0.4963608618
173	0.4963230195
174	0.4962950106
175	0.4962668122
176	0.4962481987
177	0.4962203028
178	0.4962025181
179	0.4961953481
180	0.4961917565
181	0.496158442
182	0.4961515867
183	0.4961488816
184	0.4961488424
185	0.496107139
186	0.4960768812
187	0.496038704
188	0.4959947205
189	0.4959788232
190	0.4959510413
191	0.4958882513
192	0.495856813
193	0.4958146352
194	0.4957878119
195	0.4957524912
196	0.4957432377
197	0.4957217122
198	0.49569845
199	0.4956896636
200	0.4956647868
201	0.4956374612
202	0.4956140399
203	0.4955980599
204	0.4955918606
205	0.4955240767
206	0.4955105658
207	0.4954958575
208	0.4954390686
209	0.4954300596
210	0.4954049054
211	0.4953926939
212	0.495371185
213	0.4953711823
214	0.4953577735
215	0.4953064282
216	0.495292774
217	0.4952705447
218	0.4952370073
219	0.4952191002
220	0.4951729303
221	0.4951531482
222	0.4951512816
223	0.4950862803
224	0.4950664849
225	0.4950368978
226	0.4950059294
227	0.4949490945
228	0.4949300868
229	0.4948857871
230	0.4948740875
231	0.494834395
232	0.494807571
233	0.494807571
234	0.4947602066
235	0.4947045294
236	0.4947045293
237	0.4946970882
238	0.4946970848
239	0.4946862429
240	0.4946462938
241	0.4946383915
242	0.4946008961
243	0.4945829394
244	0.4945557731
245	0.4945475738
246	0.4945402027
247	0.4945325115
248	0.4945259087
249	0.4944734381
250	0.4944696397
251	0.4944518412
252	0.4944115883
253	0.4944089591
254	0.4943417074
255	0.4943159284
256	0.4942788608
257	0.4942383195
258	0.4941861377
259	0.4941539587
260	0.4941267754
261	0.4941001629
262	0.4940805362
263	0.4940771994
264	0.4940630431
265	0.4940250901
266	0.4940153413
267	0.493976301
268	0.4939588332
269	0.4939579109
270	0.4939483344
271	0.4939414539
272	0.4939380205
273	0.4939338837
274	0.4939224591
275	0.4938868904
276	0.493871932
277	0.4938566714
278	0.4938070408
279	0.4937946658
280	0.4937863289
281	0.4937851644
282	0.4937832394
283	0.4937757797
284	0.4937702192
285	0.4937702173
286	0.4937702159
287	0.4937579437
288	0.4937364323
289	0.4937364311
290	0.4936709024
291	0.4936669901
292	0.493661471
293	0.4936428899
294	0.4936349304
295	0.493607304
296	0.4936072511
297	0.4935931382
298	0.4935922437
299	0.4935868313
300	0.4935604511
301	0.4935584403
302	0.4935433471
303	0.4935347438
304	0.493526262
305	0.4935210828
306	0.4934694709
307	0.4934630152
308	0.4934514288
309	0.4933946874
310	0.4933904665
311	0.4933712512
312	0.4933712489
313	0.4933466197
314	0.4933466196
315	0.4933421807
316	0.4933304882
317	0.4933244753
318	0.4933051829
319	0.4932968588
320	0.4932624983
321	0.4932490582
322	0.4932461326
323	0.4932382456
324	0.4932382378
325	0.493234787
326	0.4932294663
327	0.4932088849
328	0.4932058329
329	0.4931805759
330	0.4931548323
331	0.493106717
332	0.4931067164
333	0.4930667274
334	0.4930640651
335	0.4930114303
336	0.4929900908
337	0.4929575752
338	0.4929437207
339	0.4929343269
340	0.4929291778
341	0.492929173
342	0.4929163091
343	0.4928978547
344	0.4928978487
345	0.4928507038
346	0.4928284316
347	0.492783296
348	0.492779912
349	0.4927799118
350	0.4927558382
351	0.4927480366
352	0.4927480365
353	0.4927342308
354	0.4927081246
355	0.4926960371
356	0.4926331215
357	0.4926222649
358	0.4925953337
359	0.4925922871
360	0.4925752788
361	0.4925649737
362	0.4925224567
363	0.4925175994
364	0.4925099885
365	0.4925071701
366	0.4924667703
367	0.4924667696
368	0.492438648
369	0.4924273493
370	0.4924248424
371	0.4924133579
372	0.4923883374
373	0.4923626696
374	0.4923578125
375	0.4923536955
376	0.4923018749
377	0.4923018669
378	0.492299129
379	0.4922957754
380	0.4922859894
381	0.4922859528
382	0.4922750382
383	0.49222831
384	0.4922032395
385	0.4921623664
386	0.492150899
387	0.4921361551
388	0.4921137184
389	0.4921067619
390	0.4921000876
391	0.4920804313
392	0.4920561235
393	0.4920509931
394	0.4920486844
395	0.4920292532
396	0.4920202638
397	0.4920068806
398	0.4920042901
399	0.4920042006
400	0.4919980569
401	0.4919934793
402	0.4919912883
403	0.4919743163
404	0.4919503907
405	0.4919183504
406	0.4919142492
407	0.4918606303
408	0.4917552661
409	0.4917504498
410	0.4917442001
411	0.4917354924
412	0.4917289502
413	0.4917258956
414	0.4916614738
415	0.4916614705
416	0.4916505294
417	0.4916418086
418	0.4916166426
419	0.4916095004
420	0.491593124
421	0.491590851
422	0.4915762761
423	0.4915762513
424	0.4915724704
425	0.4915724611
426	0.4915541342
427	0.4915111311
428	0.4915110589
429	0.491479284
430	0.4914757924
431	0.491463709
432	0.491463709
433	0.4914586449
434	0.4914265837
435	0.4914237737
436	0.4914181039
437	0.4914113551
438	0.4914026201
439	0.4913852791
440	0.4913801803
441	0.4913765617
442	0.4913736117
443	0.4913578918
444	0.4913310017
445	0.4912929918
446	0.4912883655
447	0.4912698247
448	0.4912652091
449	0.4912586619
450	0.4912494002
451	0.4912279249
452	0.4912259361
453	0.4912239936
454	0.4912226954
455	0.4912207411
456	0.491217085
457	0.4911952675
458	0.4911905455
459	0.4911803414
460	0.4911535081
461	0.491145763
462	0.4911177202
463	0.4911177168
464	0.4911072587
465	0.4910827144
466	0.4910825374
467	0.4910720271
468	0.4910486018
469	0.4910326985
470	0.4910199112
471	0.4910129549
472	0.4909943278
473	0.4909893112
474	0.4909421372
475	0.4909261087
476	0.4909216534
477	0.490917198
478	0.4909152927
479	0.4909092868
480	0.4909053208
481	0.4909025747
482	0.49087063
483	0.4908481695
484	0.4908381531
485	0.490812243
486	0.4908105225
487	0.4907982704
488	0.4907829363
489	0.4907386114
490	0.4907262389
491	0.4907191441
