iter	Passed	Remaining
0	10	10244
1	17	8648
2	23	7843
3	27	6920
4	32	6551
5	36	6004
6	41	5925
7	55	6856
8	58	6455
9	61	6124
10	65	5889
11	69	5690
12	72	5517
13	75	5341
14	79	5194
15	82	5074
16	86	4984
17	90	4923
18	92	4789
19	96	4721
20	99	4651
21	103	4622
22	109	4637
23	113	4620
24	117	4599
25	121	4543
26	125	4516
27	128	4471
28	132	4425
29	135	4378
30	138	4330
31	142	4321
32	146	4283
33	149	4239
34	154	4252
35	159	4265
36	164	4271
37	167	4237
38	170	4206
39	174	4177
40	177	4145
41	180	4114
42	185	4124
43	189	4122
44	193	4096
45	196	4070
46	199	4043
47	203	4044
48	207	4023
49	212	4030
50	216	4029
51	220	4026
52	229	4104
53	234	4116
54	242	4163
55	249	4208
56	253	4193
57	262	4258
58	266	4247
59	269	4227
60	275	4239
61	278	4220
62	283	4213
63	286	4188
64	289	4170
65	294	4163
66	297	4143
67	300	4118
68	304	4112
69	308	4093
70	311	4071
71	314	4047
72	317	4034
73	321	4018
74	327	4037
75	335	4073
76	340	4081
77	346	4092
78	352	4106
79	357	4108
80	360	4091
81	363	4072
82	366	4054
83	371	4051
84	376	4052
85	380	4048
86	385	4046
87	389	4035
88	393	4026
89	397	4015
90	400	4002
91	405	4000
92	408	3986
93	412	3979
94	420	4004
95	426	4013
96	431	4021
97	439	4044
98	442	4030
99	448	4035
100	453	4039
101	457	4027
102	461	4015
103	465	4006
104	468	3994
105	471	3975
106	475	3965
107	478	3951
108	481	3936
109	484	3923
110	488	3908
111	492	3907
112	495	3892
113	498	3876
114	502	3864
115	506	3862
116	510	3850
117	514	3845
118	520	3851
119	524	3849
120	531	3861
121	537	3866
122	543	3871
123	554	3920
124	560	3923
125	567	3938
126	571	3930
127	575	3922
128	579	3910
129	582	3899
130	588	3901
131	592	3897
132	595	3883
133	600	3879
134	603	3868
135	607	3856
136	610	3845
137	613	3834
138	617	3823
139	621	3814
140	624	3805
141	627	3793
142	630	3780
143	637	3787
144	641	3783
145	647	3787
146	652	3785
147	655	3774
148	658	3761
149	663	3760
150	666	3749
151	674	3760
152	677	3748
153	680	3738
154	685	3738
155	695	3760
156	699	3756
157	703	3746
158	708	3749
159	712	3738
160	716	3734
161	720	3727
162	724	3718
163	727	3709
164	731	3703
165	735	3694
166	738	3684
167	742	3677
168	746	3668
169	750	3662
170	754	3655
171	757	3647
172	760	3637
173	766	3637
174	770	3630
175	775	3628
176	778	3620
177	782	3612
178	786	3608
179	790	3599
180	794	3597
181	798	3588
182	801	3578
183	804	3567
184	810	3571
185	814	3564
186	817	3556
187	821	3550
188	825	3541
189	828	3533
190	832	3525
191	836	3521
192	840	3512
193	843	3503
194	846	3495
195	850	3488
196	854	3482
197	857	3475
198	861	3468
199	867	3470
200	871	3463
201	874	3456
202	880	3458
203	885	3453
204	889	3449
205	893	3445
206	897	3438
207	901	3430
208	904	3423
209	907	3415
210	910	3405
211	914	3399
212	918	3392
213	920	3382
214	924	3374
215	927	3367
216	931	3359
217	937	3363
218	941	3355
219	944	3348
220	948	3343
221	952	3336
222	956	3332
223	959	3324
224	964	3320
225	967	3313
226	970	3306
227	977	3308
228	982	3307
229	985	3299
230	989	3294
231	993	3287
232	996	3281
233	999	3272
234	1005	3271
235	1009	3267
236	1012	3258
237	1018	3261
238	1021	3253
239	1025	3247
240	1029	3242
241	1035	3242
242	1038	3235
243	1042	3229
244	1045	3222
245	1051	3222
246	1054	3216
247	1058	3210
248	1063	3208
249	1068	3204
250	1073	3202
251	1076	3196
252	1080	3190
253	1084	3184
254	1090	3185
255	1095	3184
256	1101	3185
257	1107	3184
258	1111	3180
259	1120	3189
260	1124	3183
261	1128	3180
262	1133	3176
263	1137	3171
264	1141	3165
265	1145	3159
266	1148	3154
267	1154	3152
268	1158	3146
269	1161	3139
270	1166	3137
271	1170	3131
272	1173	3124
273	1176	3118
274	1180	3111
275	1185	3109
276	1188	3102
277	1191	3095
278	1195	3088
279	1201	3089
280	1205	3085
281	1209	3079
282	1212	3072
283	1216	3066
284	1220	3061
285	1223	3053
286	1226	3045
287	1229	3040
288	1233	3034
289	1238	3032
290	1242	3028
291	1246	3023
292	1250	3016
293	1253	3010
294	1257	3004
295	1260	2997
296	1263	2991
297	1267	2985
298	1270	2979
299	1274	2973
300	1278	2969
301	1282	2963
302	1285	2957
303	1289	2951
304	1292	2945
305	1296	2939
306	1299	2933
307	1304	2930
308	1310	2930
309	1316	2929
310	1320	2926
311	1327	2927
312	1335	2930
313	1342	2933
314	1346	2928
